number,multiplier,addend,total,exponent,target
345,4433.675640106201171875,88301.904163360595703125,1617920,12,395
345,6650.5134601593017578125,134500.8562450408935546875,2428928,12,593
345,9975.77019023895263671875,203799.28436756134033203125,3645440,13,445
345,14963.655285358428955078125,309794.926551342010498046875,5472256,15,167
345,22445.4829280376434326171875,481076.3898270130157470703125,8224768,15,251
345,33668.22439205646514892578125,737998.58474051952362060546875,12353536,15,377
345,50502.336588084697723388671875,1123381.877110779285430908203125,18546688,16,283
345,75753.5048821270465850830078125,1717840.8156661689281463623046875,27852800,16,425
345,113630.25732319056987762451171875,2609529.22349925339221954345703125,41811968,17,319
345,170445.385984785854816436767578125,3979829.835248880088329315185546875,62783488,17,479
345,255668.0789771787822246551513671875,6035280.7528733201324939727783203125,94240768,17,719
345,383502.11846576817333698272705078125,9118457.12930998019874095916748046875,141426688,17,1079
345,575253.177698652260005474090576171875,13743221.693964970298111438751220703125,212205568,17,1619
345,862879.7665479783900082111358642578125,20680368.5409474554471671581268310546875,318373888,17,2429
345,1294319.64982196758501231670379638671875,31086088.81142118317075073719024658203125,477626368,19,911
345,1941479.474732951377518475055694580078125,46891277.217131774756126105785369873046875,716701696,19,1367
345,2912219.2120994270662777125835418701171875,70599059.8256976621341891586780548095703125,1075314688,19,2051
345,4368328.81814914059941656887531280517578125,106160733.73854649320128373801708221435546875,1613234176,19,3077
345,6552493.227223710899124853312969207763671875,159503244.607819739801925607025623321533203125,2420113408,22,577
345,9828739.8408355663486872799694538116455078125,241352018.9117296097028884105384349822998046875,3632267264,23,433
345,14743109.76125334952303091995418071746826171875,366222332.36759441455433261580765247344970703125,5452595200,24,325
345,22114664.641880024284546379931271076202392578125,557722106.551391621831498923711478710174560546875,8187281408,27,61
345,33171996.9628200364268195698969066143035888671875,903692023.8270874327472483855672180652618408203125,12348030976,29,23
345,49757995.44423005464022935484535992145538330078125,1623973491.74063114912087257835082709789276123046875,18790481920,29,35
345,74636993.166345081960344032268039882183074951171875,2704395693.610946723681308867526240646839141845703125,28454158336,29,53
345,111955489.7495176229405160484020598232746124267578125,4325028996.4164200855219633012893609702587127685546875,42949672960,33,5
345,167933234.62427643441077407260308973491191864013671875,10782510790.62463012828294495193404145538806915283203125,68719476736,36,1
195,3,1,586,1,293
195,4.5,2.5,880,4,55
195,6.75,11.75,1328,4,83
195,10.125,25.625,2000,4,125
195,15.1875,46.4375,3008,6,47
195,22.78125,101.65625,4544,6,71
195,34.171875,184.484375,6848,6,107
195,51.2578125,308.7265625,10304,6,161
195,76.88671875,495.08984375,15488,7,121
195,115.330078125,806.634765625,23296,8,91
195,172.9951171875,1337.9521484375,35072,8,137
195,259.49267578125,2134.92822265625,52736,9,103
195,389.239013671875,3458.392333984375,79360,9,155
195,583.8585205078125,5443.5885009765625,119296,9,233
195,875.78778076171875,8421.38275146484375,179200,10,175
195,1313.681671142578125,13144.074127197265625,269312,10,263
195,1970.5225067138671875,20228.1111907958984375,404480,10,395
195,2955.78376007080078125,30854.16678619384765625,607232,10,593
195,4433.675640106201171875,46793.250179290771484375,911360,11,445
195,6650.5134601593017578125,71213.8752689361572265625,1368064,13,167
195,9975.77019023895263671875,110916.81290340423583984375,2056192,13,251
195,14963.655285358428955078125,170471.219355106353759765625,3088384,13,377
195,22445.4829280376434326171875,259802.8290326595306396484375,4636672,14,283
195,33668.22439205646514892578125,397896.24354898929595947265625,6963200,14,425
195,50502.336588084697723388671875,605036.365323483943939208984375,10452992,15,319
195,75753.5048821270465850830078125,923938.5479852259159088134765625,15695872,15,479
195,113630.25732319056987762451171875,1402291.82197783887386322021484375,23560192,15,719
195,170445.385984785854816436767578125,2119821.732966758310794830322265625,35356672,15,1079
195,255668.0789771787822246551513671875,3196116.5994501374661922454833984375,53051392,15,1619
195,383502.11846576817333698272705078125,4810558.89917520619928836822509765625,79593472,15,2429
195,575253.177698652260005474090576171875,7232222.348762809298932552337646484375,119406592,17,911
195,862879.7665479783900082111358642578125,10913869.5231442139483988285064697265625,179175424,17,1367
195,1294319.64982196758501231670379638671875,16436340.28471632092259824275970458984375,268828672,17,2051
195,1941479.474732951377518475055694580078125,24720046.427074481383897364139556884765625,403308544,17,3077
195,2912219.2120994270662777125835418701171875,37145605.6406117220758460462093353271484375,605028352,20,577
195,4368328.81814914059941656887531280517578125,56242696.46091758311376906931400299072265625,908066816,21,433
195,6552493.227223710899124853312969207763671875,85412620.691376374670653603971004486083984375,1363148800,22,325
195,9828739.8408355663486872799694538116455078125,130216083.0370645620059804059565067291259765625,2046820352,25,61
195,14743109.76125334952303091995418071746826171875,212101340.55559684300897060893476009368896484375,3087007744,27,23
195,22114664.641880024284546379931271076202392578125,385260874.833395264513455913402140140533447265625,4697620480,27,35
195,33171996.9628200364268195698969066143035888671875,645000176.2500928967701838701032102108001708984375,7113539584,27,53
195,49757995.44423005464022935484535992145538330078125,1034609128.37513934515527580515481531620025634765625,10737418240,31,5
195,74636993.166345081960344032268039882183074951171875,2625655516.562709017732913707732222974300384521484375,17179869184,34,1
147,3,1,442,1,221
147,4.5,2.5,664,3,83
147,6.75,7.75,1000,3,125
147,10.125,15.625,1504,5,47
147,15.1875,39.4375,2272,5,71
147,22.78125,75.15625,3424,5,107
147,34.171875,128.734375,5152,5,161
147,51.2578125,209.1015625,7744,6,121
147,76.88671875,345.65234375,11648,7,91
147,115.330078125,582.478515625,17536,7,137
